KEY,EN,CN
LC_name_townhall,Townhall ,指挥所
LC_name_armycamp,Army Camp,部队集合点
LC_name_stronghold,Stronghold,要塞
LC_name_produce_lumber,Lumber Mill,伐木场
LC_name_produce_steel,Steel Plant,炼钢厂
LC_name_produce_food,Farm,农场
LC_name_produce_marble,Quarry,采石场
LC_name_storage_lumber,Lumber Yard,木材仓库
LC_name_storage_steel,Steel Yard,钢材仓库
LC_name_storage_food,Food Storehouse,食物仓库
LC_name_storage_marble,Marble Storehouse,石材仓库
LC_name_tribute_gold,Living Quarters,民房
LC_name_siege_up,Workshop of War,战争工坊
LC_name_march_speed_up,Windwell,旅行者驿站
LC_name_paper_dominant_up,Ancient Battlefield,英雄大厅-布
LC_name_scissors_dominant_up,Tavern,英雄大厅-剪刀
LC_name_rock_dominant_up,Stone Hall,英雄大厅-石头
LC_brief_townhall,The Town Hall is the center of your civilization and upgrading it grants you access to new buildings and more tiles.  Send units to the Town Hall to be formatted and healed.  ,指挥所是势力的中心. 升级可以解锁新的建筑以及获得更多的地块. 可以把部队派遣到指挥所进行治疗. 
LC_brief_armycamp,Train new units here. ,建造部队集合点可以配置一支新的部队. 升级可以提升本部队的上阵英雄数和治疗速度. 
LC_brief_stronghold,"A fortress which can be constructed or cancelled at any time. Send units to the Town Hall to be healed. Reduce the transit time by 30% from Fortress to Town Hall, Fortress to Fortress. ","要塞是可随时建造和取消的临时指挥所.\n可在要塞治疗英雄(花费金币).\n部队在要塞和指挥所, 要塞和要塞之间的移动时间减少30%. "
LC_brief_produce_lumber,From the Lumber Mill we produce lumber.  Upgrade to a higher level to increase your production output. ,伐木场能够产出木材. 升级可以提升产量. 
LC_brief_produce_steel,From the Steel Plant we produce steel.  Upgrade to a higher level to increase your production output. ,炼钢厂能够产出钢材. 升级可以提升产量. 
LC_brief_produce_food,From the Farm we produce food.  Upgrade to a higher level to increase your production output. ,农场能够产出食物. 升级可以提升产量. 
LC_brief_produce_marble,From the Quarry we produce marble.  Upgrade to a higher level to increase your production output. ,采石场能够产出石材. 升级可以提升产量. 
LC_brief_storage_lumber,You'll need somehwere to store the lumber you're producing.  The Lumber Yard is where you'll do that.  Upgrade to increase storage capacity. ,木材仓库用来存放木材. 升级可以提升容量. 
LC_brief_storage_steel,You'll need somehwere to store the steel you're producing.  The Steel Yard is where you'll do that.  Upgrade to increase storage capacity. ,钢材仓库用来存放钢材. 升级可以提升容量. 
LC_brief_storage_food,You'll need somehwere to store the food you're producing.  The Food Storehouse is where you'll do that.  Upgrade to increase storage capacity. ,食物仓库用来存放食物. 升级可以提升容量. 
LC_brief_storage_marble,You'll need somehwere to store the marble you're producing.  The Marble Storehouse is where you'll do that.  Upgrade to increase storage capacity. ,石材仓库用来存放石材. 升级可以提升容量. 
LC_brief_tribute_gold,"Living Quarters can enhance revenue to increase amount of gold you receive via tribute The higher level of your Living Quarters,  the more gold you'll gain from tributes. ","民房提供税收, 增加每次贡品中的金币数量. 升级可以增加更多. "
