KEY,EN,CN
LC_server_currency_not_enough,Insufficient currency! ,您的货币用光啦! 
LC_server_resource_not_enough,Insufficient resources! ,您的资源用光啦! 
LC_server_gem_not_enough,Insufficient gems! ,您的钻石用光啦! 
LC_server_gold_not_enough,Insufficient gold! ,您的金币用光啦! 
LC_server_townhall_not_found,"You still don't have a Townhall,  go and build one! ","您还没有指挥所呢, 快去建造一个吧! "
LC_server_townhall_level_not_enough,"Your Townhall isn't at the required level,  I suggest you go and upgrade it first. ","您的指挥所尚未达到所需等级, 建议先进行升级. "
LC_server_player_force_not_enough,"You do not have enough Power Points,  I suggest you increase your power first. ","您的实力值不足, 建议先进行实力提升. "
LC_server_cannot_move_to_target,You cannot move the target. ,不能对目标进行移动. 
LC_server_cannot_attack_self,Surely you don't wish to attack yourself! ,"咦, 您难道要攻打自身土地?"
LC_server_cannot_attack_ally,"You cannot attack allies who have already been rescued or those who have a ""free"" status. ","抬头不见低头见, 您可不能攻击自由人状态下或者已被解救的盟友啊. "
LC_server_cannot_attack_slave,"Acquiring underling is no easy feat,  you should treat them well! ","获得一个下属不容易, 要善待别人哦~! "
LC_server_cannot_attack_master,"You may not like it,  but you cannot attack your superior players! ","虽然可能不情愿, 可是您不能攻打上属玩家哦~! "
LC_server_cannot_reach_target,Target cannot be reached. ,无法到达这个目标. 
LC_server_point_not_found,The tile you are looking for cannot be found! ,您所寻找的土地不存在~! 
LC_server_player_not_found,This player cannot be found on Misty Island,迷雾之岛中没有找到这个玩家. 
LC_server_player_id_duplicated,This ID already exists,玩家ID重复
LC_server_player_name_duplicated,This player name already exists,玩家名称重复
LC_server_join_request_not_found,Join request not found,加入请求不存在
LC_server_alliance_not_found,This Alliance has either disbanded or doesn't exist. ,这个联盟已被解散或不存在. 
LC_server_alliance_id_duplicated,This Alliance ID already exists.  ,联盟ID重复
LC_server_alliance_name_duplicated,"This name is already being used,  please choose another one! ","这个名字已经被使用, 起一个新的吧! "
LC_server_alliance_member_maximum,"This Alliance is already overpopulated,  there are better choices out there! ","这个联盟已人满为患, 还有更好的选择哦~! "
LC_server_alliance_closed_join,This Alliance has refused to accept new members. ,该联盟已拒绝接受新盟友加入. 
LC_server_alliance_join_condition_invalid,Requirements to join the Alliance invalid,联盟加入条件非法
LC_server_alliance_member_not_found,Alliance member not found. ,没找到这个盟友. 
LC_server_alliance_member_role_invalid,Alliance member's position not found. ,没找到这个盟友的职务. 
LC_server_alliance_abdication_is_in_progress,This Alliance has already entered a state of abdication.  ,此联盟已经进入禅让状态. 
LC_server_alliance_owner_cannot_quit,An Alliance leader cannot leave an Alliance until all of the members have left. ,"在联盟成员全部离开之前, 盟主不能退出联盟. "
LC_server_alliance_mark_maximum,"Alliance marks have reached the limit,  please sort this out and try again.  ","联盟标记已达上限, 请整理后重试. "
LC_server_build_event_type_invalid,"Construction master Sirri has discovered some flaws in the building,  he is carrying out some urgent repairs","建造师小思睿发现该建筑有瑕疵, 正在快速修复. "
LC_server_build_event_cannot_cancel,Cannot cancel this build. ,不能取消次此次建造. 
LC_server_building_location_changed,You must build on tile which you own and which is of the requisite level. ,"要建造在自己拥有, 并且等级合适的土地上. "
LC_server_build_event_queue_maximum,"The builders are currently busy building,  please wait until they have finished to build again.  ","两个建筑队列都已经在工作啦, 请您等此次建造完成后再做打算. "
LC_server_march_event_not_found,This march has either been completed or hasn't yet begun. ,已成功派遣. 
LC_server_march_event_type_invalid,March event type invalid,行军事件类型非法. 
LC_server_march_event_cannot_cancel,March event either completed or yet to begin. ,行军事件已完成或未开始. 
