KEY,EN,CN
LC_field_name_road,Road,路
LC_field_name_field_plain,Plain,平原
LC_field_name_field_food,Farm,农场
LC_field_name_field_lumber,Lumber,木材
LC_field_name_field_marble,Marble,大理石
LC_field_name_field_steel,Steel,钢
LC_field_level,Lv. ,等级
LC_fieldinfo_production,H,/小时
LC_field_allianceonly,Only Alliances can occupy this tile,只有联盟可以占据这个地块
LC_field_button_attack,Attack,攻击
LC_field_button_march,March,游行
LC_button_tile_mark,Mark,标记
LC_button_tile_deletemark,Unmark,取消标记
LC_field_button_abandon,Abandon,放弃
LC_field_button_upgrade,Upgrade,升级
LC_map_reminder_fieldconnection,You can only march to tiles next to your tile,你只能前进到你的领土旁边的地块
LC_marchinfo_title,March Info,三月信息
LC_marchinfo_number,Number,数
LC_marchinfo_speed,Speed,速度
LC_marchinfo_siege,Siege,攻城
LC_marchinfo_energycost,Energy cost,能源成本
LC_marchinfo_timecost,Time cost,时间成本
LC_marchinfo_danger,This enemy is too dangerous.  Come back when you have gotten stronger. ,"这个敌人太危险了.  回来时, 你变得更强. "
LC_marchinfo_easy,This battle will be very easy.  Have fun! ,战斗将很容易.  玩的开心! 
LC_marchinfo_normal,Victory will cost many lives. ,胜利将耗费许多生命. 
LC_marchinfo_button_march,March,游行
LC_march_confirm_title,Danger,危险
LC_march_confirm_description,This enemy is too dangerous.  Still want to attack?,"这个敌人太危险了, 确定要攻击吗?"
LC_map_dynamics_move,<color=#359813>Unit{0}</color> has arrived <color=#b63333>{1}</color>. ,<color=#359813>部队{0}</color> 已到达 <color=#b63333>{1}</color>. 
LC_map_dynamics_encounter,<color=#359813>Unit{0}</color> has encountered an enemy at <color=#b63333>{1}</color>. ,<color=#359813>部队{0}</color> 在 <color=#b63333>{1}</color> 发生了战斗. 
LC_map_dynamics_combat_win,<color=#359813>Unit{0}</color> has won the battle at <color=#b63333>{1}</color>. ,<color=#359813>部队{0}</color> 赢得了 <color=#b63333>{1}</color>处的战斗
LC_map_dynamics_field_occupy,You have already occupied <color=#b63333>{0}</color>. ,您已占领了 <color=#b63333>{0}</color>. 
LC_map_dynamics_combat_lost,<color=#359813>Unit{0}</color> has lost the battle at <color=#b63333>{1}</color>. ,<color=#359813>部队{0}</color> 在 <color=#b63333>{1}</color> 惜败. 
LC_map_dynamics_field_lost,You has lost <color=#b63333>{0}</color>. ,您失去了 <color=#b63333>{0}</color>
LC_map_dynamics_abandon,<color=#b63333>{0}</color> Tile has been abandoned. ,区域 <color=#b63333>{0}</color> 已沦陷. 
LC_battlefailed_confirm_description,Battle at {0} failed.  Your army needs stronger heroes. ,{0}上的战斗失败.  你的军队需要更强大的英雄. 
LC_battlefailed_confirm_button_wanthero,Go summon,去召唤
LC_battlefailed_confirm_button_nevermind,Never mind,没关系
LC_troopbar_encamp,Encamp,扎营
LC_maptroopinfo_number,Number,数
LC_maptroopinfo_location,Location,位置
LC_maptroopinfo_button_backtotownhall,Return to Townhall,回到townhall
LC_maptroopinfo_button_backtonearest,Return to {0},返回{0}
LC_buildingmenu_timecost,Time cost,时间成本
LC_button_tile_build,Build,建造
LC_hero_tab_myhero,My Heroes,我的英雄
LC_hero_tab_summon,Summon,召唤
LC_hero_heroinfo_level,Lv.  {0},{0} 级
LC_hero_heroinfo_troopnumber,Unit number,部队号
LC_hero_heroinfo_energy,Energy,能源
LC_hero_herodetails_unitattack,Unit attack,单位攻击
LC_hero_herodetails_unithp,Unit HP,单位HP
LC_hero_herodetails_troopspeed,Unit speed,部队速度
LC_hero_herodetails_troopsiege,Siege Points,攻城值
LC_hero_herodetails_cavalry,Cavalry,Cavalry
LC_hero_herodetails_infantry,Infantry,Infantry
LC_hero_herodetails_archer,Archer,Archer
LC_hero_summon_tavern_description,Outsiders on this island.  Most of the raiders are cavalry. ,Outsiders of this island.  Most of the raiders are cavalries. 
LC_hero_summon_tow_description,Native resident of this island.  Most of them are archers. ,Native resident of this island.  Most of them are archers. 
LC_hero_summon_hos_description,Native resident of this island.  Most of them are infantry. ,Native resident of this island.  Most of them are infantries. 
LC_hero_summon_aoc_description,Strong race. ,Strong race. 
LC_hero_summon_dt_description,Very strong race. ,Very strong race. 
LC_hero_summon_pay_description,Strongest race. ,Most strong race. 
LC_reward_fdfield_desc,You conquered a Lv. <size=36>{0}</size> tile! ,恭喜您首次战胜 <size=36>{0}</size>级 土地! 
LC_reward_fdfield_congrats,First occupation of Lv. <size=36>{0}</size> tile will get,首次占领 <size=36>{0}</size>级 土地可获得奖励
LC_mail_marchmail_title,March result,March result
LC_mail_marchfailed_ownerchanged,"Unit {0} can't stay at <b><color=#00ff00ff><a href={1}>{1}</a></color></b>,  the owner of this field was changed. ","Troop {0} can't stay at <b><color=#00ff00ff><a href={1}>{1}</a></color></b>,  the owner of this field was changed. "
LC_mail_marchfailed_protection,"Unit {0} didn't fight anyone at <b><color=#00ff00ff><a href={1}>{1}</a></color></b>,  the tile is under protection. ","Troop {0} didn't fight against no one at <b><color=#00ff00ff><a href={1}>{1}</a></color></b>,  field is under protection. "
LC_mail_siegemail_title,Siege result,Siege result
LC_mail_siegereward,Your alliance has conquered {0} Lv.  {1}.  Here are your combat awards. ,Your alliance had conquered {0} Lv.  {1}.  Here are your combat award. 
LC_mail_alliancerole_title,Alliance position changed,Alliance position changed
LC_mail_alliancerole,{0} was appointed {1} of the alliance.  ,{0} was appointed {1} of the alliance.  
LC_troopname_troop,Unit{0},部队 {0}
