id,level,type,name,race,tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"1,8,200,1",7,zone_capital,din_buldihr_center,dwarf,0,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"1,8,200,0",7,zone_capital,din_buldihr_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,8,201,1",5,normal,mudrun_center,raider,0,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"1,8,201,0",5,normal,mudrun_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,8,202,1",4,normal,autumnborn_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"1,8,202,0",4,normal,autumnborn_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,8,203,1",6,normal,morrhia_center,dwarf,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"1,8,203,0",6,normal,morrhia_outside,dwarf,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,8,204,1",4,normal,blindfort_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"1,8,204,0",4,normal,blindfort_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,7,200,1",7,zone_capital,nughdun_center,dwarf,0,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"1,7,200,0",7,zone_capital,nughdun_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,7,201,1",4,normal,oldtide_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"1,7,201,0",4,normal,oldtide_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,7,202,1",5,normal,farbell_center,raider,0,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"1,7,202,0",5,normal,farbell_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,7,203,1",4,normal,heghgrim_center,dwarf,0,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"1,7,203,0",4,normal,heghgrim_outside,dwarf,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,7,204,1",6,normal,basinbay_center,raider,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"1,7,204,0",6,normal,basinbay_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,1,200,1",7,zone_capital,nanyar_center,dwarf,0,0,282000,282000,282000,282000,1800,7200,0,0,0.3,315000,0,720300,m,6860,1303812,75
"1,1,200,0",7,zone_capital,nanyar_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,1,201,1",4,normal,angelshell_center,raider,0,0,72000,72000,72000,72000,2310,0,0,580,0,19000,0,76800,s,640,361548,53
"1,1,201,0",4,normal,angelshell_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,1,202,1",6,normal,sunpost_center,raider,0,0,216000,216000,216000,216000,0,2160,0,2160,0,135000,0,388800,s,2160,825588,68
"1,1,202,0",6,normal,sunpost_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,2,200,1",8,zone_capital,norwohr_center,dwarf,0,0,372000,372000,372000,372000,4860,4860,0,0,0.3,381000,0,1228800,m,10240,2336868,83
