level,type,durability,alliance_exp,force,gold,food,lumber,marble,steel,rank_points
1,pass,6000,100,0,0,2400,2400,2400,2400,10
1,bridge,550,0,8,5,800,800,800,800,0
2,pass,12000,1600,0,0,6000,6000,6000,6000,80
2,bridge,575,0,15,10,2000,2000,2000,2000,0
3,pass,24000,8100,0,0,18000,18000,18000,18000,270
3,bridge,900,8,30,20,6000,6000,6000,6000,0
4,pass,29000,25600,0,0,36000,36000,36000,36000,640
4,bridge,938,30,60,30,12000,12000,12000,12000,0
5,pass,39000,62500,0,0,72000,72000,72000,72000,1250
5,bridge,1300,100,120,60,24000,24000,24000,24000,0
6,pass,41000,129600,0,0,108000,108000,108000,108000,2160
6,bridge,1350,360,240,110,36000,36000,36000,36000,0
7,pass,140000,240100,0,0,141000,141000,141000,141000,3430
7,bridge,3500,1200,480,130,47000,47000,47000,47000,0
8,pass,327000,409600,0,0,186000,186000,186000,186000,5120
8,bridge,5438,4000,960,150,62000,62000,62000,62000,0
9,pass,540000,656100,0,0,237000,237000,237000,237000,7290
9,bridge,6750,8000,1920,240,79000,79000,79000,79000,0
10,pass,768000,1000000,0,0,288000,288000,288000,288000,10000
10,bridge,7200,16000,3840,280,96000,96000,96000,96000,0
11,pass,864000,1464100,0,0,339000,339000,339000,339000,13310
11,bridge,10800,30000,7680,320,113000,113000,113000,113000,0
12,pass,1500000,2073600,0,0,396000,396000,396000,396000,17280
12,bridge,15000,50000,15360,540,132000,132000,132000,132000,0
