level,type,hero_groups,group_amount
1,pass,group13,5
1,bridge,group39,1
2,pass,group14,5
2,bridge,group40,1
3,pass,group15,5
3,bridge,group41,1
4,pass,group16,6
4,bridge,group42,1
5,pass,group16,6
5,bridge,group42,1
6,pass,group16,6
6,bridge,group42,1
7,pass,group19,12
7,bridge,group45,3
8,pass,group20,14
8,bridge,group46,3
9,pass,group21,16
9,bridge,group47,4
10,pass,group22,18
10,bridge,group48,5
11,pass,group23,20
11,bridge,group49,6
12,pass,group24,25
12,bridge,group50,7
13,pass,group24,27
13,bridge,group51,7
