id,name
0,hero_405
1,hero_008
2,hero_109
3,hero_106
4,hero_108
5,hero_107
6,hero_211
7,hero_111
8,hero_110
9,hero_105
10,hero_201
11,hero_101
12,hero_009
13,hero_011
14,hero_010
15,hero_204
16,hero_202
17,hero_203
18,hero_104
19,hero_007
20,hero_004
21,hero_012
22,hero_207
23,hero_005
24,hero_210
25,hero_208
26,hero_206
27,hero_307
28,hero_306
29,hero_006
30,hero_003
31,hero_303
32,hero_302
33,hero_205
34,hero_001
35,hero_305
36,hero_209
37,hero_212
38,hero_102
39,hero_401
40,hero_403
41,hero_002
42,hero_301
43,hero_406
44,hero_402
45,hero_304
46,hero_103
47,hero_112
48,hero_404
49,hero_407
