fd_level,gold_buy_tier_1,gold_buy_tier_2,gold_buy_tier_3,gold_buy_tier_4,gold_buy_tier_5,gold_price,gift_gold,gift_gem,gift_tier_1,gift_tier_2,gift_tier_3,gift_tier_4,gift_tier_5,unlock_hero
1,"5,9,14","0,0,0","0,0,0","0,0,0","0,0,0","200,400,600",400,9,6,0,0,0,0,"hero_405,hero_008,hero_109"
2,"8,15,23","0,0,0","0,0,0","0,0,0","0,0,0","200,400,600",500,10,9,0,0,0,0,"hero_405,hero_008,hero_109,hero_106"
3,"11,21,32","3,3,5","0,0,0","0,0,0","0,0,0","200,400,600",600,12,13,2,0,0,0,"hero_405,hero_008,hero_109,hero_106,hero_107"
4,"14,27,41","5,6,9","2,3,4","0,0,0","0,0,0","200,400,600",700,16,17,3,2,0,0,"hero_405,hero_008,hero_109,hero_211,hero_106,hero_111,hero_107"
5,"24,48,72","10,12,18","2,4,5","0,0,0","0,0,0","300,500,800",800,18,29,5,3,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_106,hero_111,hero_107"
6,"34,68,102","16,20,30","4,8,10","0,0,0","0,0,0","300,500,800",900,20,41,8,5,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_106,hero_111,hero_011,hero_010,hero_107"
7,"42,84,126","20,24,36","6,12,15","0,0,0","0,0,0","300,500,800",1000,22,51,10,8,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_106,hero_111,hero_011,hero_010,hero_104,hero_107"
8,"50,100,150","26,32,48","10,20,24","0,0,0","0,0,0","300,500,800",1100,24,60,13,12,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_106,hero_111,hero_011,hero_010,hero_104,hero_005,hero_107"
9,"88,175,263","40,50,75","15,30,36","0,0,0","0,0,0","300,600,900",1200,26,105,20,18,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_106,hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_107,hero_006"
10,"100,200,300","64,80,120","18,35,42","0,0,0","0,0,0","300,600,900",1300,29,120,32,21,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_106,hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_107,hero_006"
11,"118,235,353","72,90,135","25,50,60","0,0,0","0,0,0","300,600,900",1400,31,141,36,30,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_106,hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_107,hero_006"
12,"133,265,398","76,95,143","28,55,66","0,0,0","0,0,0","300,600,900",1600,35,159,38,33,0,0,"hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406,hero_106,hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402,hero_107,hero_006,hero_304"
