hero_id,tier
hero_405,1
hero_008,1
hero_109,1
hero_106,2
hero_108,1
hero_107,3
hero_211,1
hero_111,2
hero_110,1
hero_105,1
hero_201,2
hero_101,3
hero_009,1
hero_011,2
hero_010,2
hero_204,3
hero_202,1
hero_203,2
hero_104,2
hero_007,3
hero_004,1
hero_012,1
hero_207,2
hero_005,2
hero_210,3
hero_208,1
hero_206,1
hero_307,2
hero_306,2
hero_006,3
hero_003,1
hero_303,1
hero_302,2
hero_205,2
hero_001,2
hero_305,3
hero_209,1
hero_212,1
hero_102,1
hero_401,2
hero_403,2
hero_002,3
hero_301,1
hero_406,1
hero_402,2
hero_304,3
