type,level,gold,food,lumber,marble,steel,crystal,force,alliance_exp
plain,1,5,800,1000,0,0,0,5,1
road,1,5,800,1000,0,0,0,5,1
food,2,10,2000,0,0,0,0,10,4
food,3,20,6000,0,0,0,0,20,8
food,4,30,12000,0,0,0,0,40,30
food,5,60,24000,0,0,0,0,80,100
food,6,110,36000,0,0,0,0,160,200
food,7,130,47000,0,0,0,0,320,400
food,8,150,62000,0,0,0,0,640,800
food,9,240,79000,0,0,0,0,1280,1600
food,10,280,96000,0,0,0,0,2560,3200
food,11,320,113000,0,0,0,0,5120,6400
food,12,540,132000,0,0,0,0,10240,15000
lumber,2,10,0,2000,0,0,0,10,4
lumber,3,20,0,6000,0,0,0,20,8
lumber,4,30,0,12000,0,0,0,40,30
lumber,5,60,0,24000,0,0,0,80,100
lumber,6,110,0,36000,0,0,0,160,200
lumber,7,130,0,47000,0,0,0,320,400
lumber,8,150,0,62000,0,0,0,640,800
lumber,9,240,0,79000,0,0,0,1280,1600
lumber,10,280,0,96000,0,0,0,2560,3200
lumber,11,320,0,113000,0,0,0,5120,6400
lumber,12,540,0,132000,0,0,0,10240,15000
marble,2,10,0,0,2000,0,0,10,4
marble,3,20,0,0,6000,0,0,20,8
marble,4,30,0,0,12000,0,0,40,30
marble,5,60,0,0,24000,0,0,80,100
marble,6,110,0,0,36000,0,0,160,200
marble,7,130,0,0,47000,0,0,320,400
marble,8,150,0,0,62000,0,0,640,800
marble,9,240,0,0,79000,0,0,1280,1600
marble,10,280,0,0,96000,0,0,2560,3200
marble,11,320,0,0,113000,0,0,5120,6400
marble,12,540,0,0,132000,0,0,10240,15000
steel,2,10,0,0,0,2000,0,10,4
steel,3,20,0,0,0,6000,0,20,8
steel,4,30,0,0,0,12000,0,40,30
steel,5,60,0,0,0,24000,0,80,100
steel,6,110,0,0,0,36000,0,160,200
steel,7,130,0,0,0,47000,0,320,400
steel,8,150,0,0,0,62000,0,640,800
steel,9,240,0,0,0,79000,0,1280,1600
steel,10,280,0,0,0,96000,0,2560,3200
steel,11,320,0,0,0,113000,0,5120,6400
steel,12,540,0,0,0,132000,0,10240,15000
