level,food_limit,lumber_limit,marble_limit,steel_limit,crystal_limit
0,3000,3000,3000,3000,0
1,20000,20000,20000,20000,0
2,64000,64000,64000,64000,0
3,150000,150000,150000,150000,0
4,350000,350000,350000,350000,0
5,750000,750000,750000,750000,0
6,3000000,3000000,3000000,3000000,0
7,4500000,4500000,4500000,4500000,0
8,12000000,12000000,12000000,12000000,0
9,14000000,14000000,14000000,14000000,0
10,26000000,26000000,26000000,26000000,0
11,44000000,44000000,44000000,44000000,0
12,55000000,55000000,55000000,55000000,0
